identificador,nro_encuesta,zona,asentamiento,ciudad,tipo_formacion,tipo_formacion_otro,origen,origen_otro,poblador_mas_antiguo,poblador_mas_nuevo,superficie,numero_lotes,medida_lotes,numero_aprox_viviendas,numero_aprox_viviendas_precarias,numero_aprox_viviendas_precarias_otro,multiples_familias,tipo_propiedad,tipo_propiedad_fiscal,esta_loteada,plano_aprobado_muni,plano_aprobado_sas,conocimiento_adjudicacion,encargado_asignacion_lotes,encargado_asignacion_lotes_otros,ultima_salida_familia,desalojos,titulo_lotes,proceso_de_transferencia_titulos,razon_proceso_legalizacion,razon_proceso_legalizacion_otro,apoyo_organizacion,institucion_encargada_legalizacion,instucion_encargada_legalizacion_otro,legalizacion_etapa,legalizacion_etapa_otro,lotes_vendidos,lotes_vendidos_responsables,lotes_vendidos_precio,lotes_vendidos_destino,lotes_vendidos_destino_otro,excretas,escretas_otros,agua_tipo_provision,agua_tipo_conexion_regular,agua_tipo_provision_otro,agua_cantidad_familias,energia_tipo_provision,energia_cantidad_medidor,agua,agua_tiempo_tramites,agua_ano_obtencion,energia,energia_tiempo_tramites,energia_ano_obtencion,eliminacion_basura_tipo,eliminacion_basura_tipo_otro,cocina_metodo,cocina_metodo_otro,vias_acceso_material,vias_acceso_material_otro,caminos_material,caminos_material_otro,caminos_estado,calles_delimitadas_nombradas,calles_delimitadas_nombradas_otro,alumbrado_publico,alumbrado_publico_otro,alumbrado_publico_extension,alumbrado_publico_extension_otro,ong_asistencia,ong_proyectos,ong_familias_beneficiadas,ong_inicio_trabajos,programas_viviendas,programas_viviendas_lista,programas_viviendas_tipo,comision_vecinal,cooperativa,comedores,junta_saneamiento,guarderias,otras_organizaciones_asentamiento,ninguna_organizacion,comision_vecinal_participantes,organizacion_social_otro,comision_vecinal_eleccion_mecanismo,ribera_rio,arroyo,cerro,basurero,lineas_alta_tension,barrio_residencial,barranco,cantera,humedales,fabricas,ruta,lugares_cercanos_otro,distanica_comisaria,distancia_fiscalia_barrial,distancia_puesto_salud,distancia_hospital_publico,distancia_escuela_publica,distancia_escuela_privada,distancia_colegio_nacional,distancia_universidad,distancia_instituto_tecnico,distancia_transporte_publico,distancia_supermercado,distancia_centro_comunitario,distancia_cancha_deportiva,distancia_iglesia,distancia_zona_verde,distancia_comite_politico,obs_generales_lugar,problema_violencia,problema_desempleo,problema_drogadiccion,problema_educacion,problema_agua_potable,problema_salud,problema_falta_energia,problema_eliminacion_basura,problema_camino,problema_union_vecinos,problema_otro,aspectos_positivos,observaciones_grales,datos_adjuntos,asentamiento_intervenido_techo
231,35,1,14 de julio i,ñemby,migracion por factores economicos,,ocupacion de tierras cedidas por el estado,,2002,mas de 10 años,,,,21,0,,no,municipal,,si,si,no,ns/nr,municipalidad,,1 año,no,si,,no ha habido interes en legalizar las tierras,,no,,,iniciando,,no,,,,,letrina sanitaria conectado a pozo negro o pozo ciego,,conexión regular,pozo comunal,,100,irregular,40,si,entre 1 y 3 meses,,no,,,tira y quema,,leña y carbón,,tierra,,tierra,,malo,en todas las calles del barrio,,hechos por los vecinos,,en algunas de las calles del asentamiento,,no,,,,si,senavitat,senavitat y legión de la 3ra edad,si,no,no,no,no,,no,18,,voto popular,no,no,no,no,no,no,no,no,no,no,si,,a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),,4,,,,,,,3,2,,1 tercera edad,unidad,,,no
230,43,3,13 de agosto **,ñemby,reubicacion,,ocupacion ilegal,,1994,menos de 1 año,10000,45,225,50,10,,si,fiscal,senavitat,si,si,si,si,propietario o particular,,de 3 a 6 meses,no,si,,,los documentos se encuentran en senavitat,si,,senavitat,,"tramitando con la senavitat, Falta pagar",si,los propios vecinos,ns/nr,para uso particular del vendedor,,inodoro conectado a fosa septica,,conexión regular,pozo comunal,,100,irregular,40,si,mas de un año,,no,,,,,gas,,,,,,regular,únicamente en la calle principal del barrio,,provistos por el estado,,en todas las calles del asentamiento,,no,,,,no,,solo agilizar la legalizacion en la municipalidad,si,no,no,no,no,,no,6,,votacion,no,si,no,no,no,si,si,no,no,no,no,,a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),dentro del asentamiento,a menos de 10 cuadras (1 km),entre 31 y 50 cuadras (3-5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),"proximidad de arroyo contaminado, sin recoleccion de basuras en el asentamiento",,3,4,,,,,1,,2 Falta de unión entre vecinos,,,,,no
229,501,,11 de setiembre,ñemby,migracion por factores economicos,,mediante una asociacion social,,2005,entre 2 y 3 años,5360,8,232,16,0,,si,sas,,si,si,si,si,h,dirigente,mas de 2 años,no,si,,ya se ha intentado legalizar y no se ha dado resultado,,si,sas,,finalizando,,si,persona encargada,mas de 1.000.000Gs,para uso particular del vendedor,,inodoro conectado a fosa septica,,conexión regular,"fuentes naturales(rio, arroyo, lluvia, etc)",,100,irregular,0,si,entre 1 y 3 meses,,no,,,servicio de recolección pagado,,leña y carbón,,tierra,,tierra,,regular,no,,provistos por el estado,,únicamente en la calle principal,,no,,,,si,acción social,profesiones y de profesionales de salud,si,no,no,no,no,,no,16,,asamblea con presencia de la municipalidad,no,no,no,no,no,no,no,no,no,no,no,,a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),entre 31 y 50 cuadras (3-5 km),entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),,,,,,,,,,,,1 problemas de pagos de sus viviendas,la unión de los vecinos y la buena relación,,,no
228,,,10 de agosto **,ñemby,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
227,34,1,1 de julio**,ñemby,reubicacion,,ocupacion ilegal,,2008,entre 5 y 10 años,4416,13,360,13,6,,no,sas,,si,si,si,si,sas,,mas de 2 años,si,si,,ya se ha intentado legalizar y no se ha dado resultado,,si,sas,,finalizando,,no,,,,,letrina sanitaria conectado a pozo negro o pozo ciego,,conexión regular,"fuentes naturales(rio, arroyo, lluvia, etc)",,100,ANDE,100,si,entre 1 y 3 meses,,si,mas de un año,,tira y quema,,leña y carbón,,tierra,,tierra,,malo,en todas las calles del barrio,,provistos por el estado,,en todas las calles del asentamiento,,si,"senavitat, viviendas",13,1 año y medio,si,senavitat,tekopora,si,no,no,no,no,,no,14,,votacion,no,si,no,no,no,no,no,no,no,no,no,,a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),,,,,,,,,,1,,,,,,no
225,117,8,vya renda,san lorenzo,reubicacion,,e,tramite de compra,2007,menos de 1 año,90000,,,214,60,,no,privada,,no,en proceso,en proceso,si,sas,,no hubo abandono,no,si,,,en proceso,no,,,en tramite con la sas,,si,los propios vecinos,ns/nr,para uso particular del vendedor,,letrina sanitaria conectado a pozo negro o pozo ciego,,conexión regular,"fuentes naturales(rio, arroyo, lluvia, etc)",,100,irregular,100,si,5,,no,,,tira y quema,,electricidad,,,,,,bueno,únicamente en la calle principal del barrio,,hechos por los vecinos,,únicamente en la calle principal,,no,,,,no,,techo y equipamientos para comedor,si,no,si,no,no,comité de mujeres,no,17 miembros en reunion de comision vecinal y 120 personas en reuniones generales,,votacion a traves de asamblea municipal,no,si,no,no,si,no,no,no,si,no,no,,mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),entre 31 y 50 cuadras (3-5 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),dentro del asentamiento,a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),,,,,,,,2,,,,1// vivienda de emergencia. 3// legalizacion de planos,"seguridad, trabajo y respeto",,,no
210,516,,virgen de la paz 1,san lorenzo,migracion por factores economicos,,ocupacion ilegal,,2002,menos de 1 año,815768,27,200,27,3,,si,sas,,si,si,si,ns/nr,sas,,1 año,no,si,4 a 6 años,No hay respuesta,,si,,ya esta legalizado,finalizando,SAS,si,los propios vecinos,ns/nr,para uso particular del vendedor,,letrina sanitaria conectado a pozo negro o pozo ciego,,conexión regular,pozo comunal,junta de sanamiento,90,ANDE,90,si,entre 1 a 3 meses,,si,mas de un año,,servicio de recolección pagado,,gas,,,,,,bueno,en algunas de las calles del barrio,,hechos por los vecinos,,únicamente en la calle principal,,si,"sas, viviendas",22,Viviendas 2005 (10 años),si,sas,ns/nr,si,no,no,no,no,,no,14 personas,,votacion popular,no,no,no,no,no,no,no,no,no,no,si,,dentro del asentamiento,mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),dentro del asentamiento,mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),dentro del asentamiento,dentro del asentamiento,mas de 50 cuadras(+5 km),,1,,,2,,3,,,,,colegio tecnico,,,,no
224,103,2,villa virgen del fatima,san lorenzo,reubicacion,,ocupacion ilegal,,2000,entre 2 y 3 años,150,14,,14,10,,si,municipal,,no,no,no,si,h,orden de llegada,no hubo abandono,no,si,,ya se ha intentado legalizar y no se ha dado resultado,,no,,,,no existe proceso,si,los propios vecinos,mas de 1.000.000Gs,para uso particular del vendedor,,letrina sanitaria conectado a pozo negro o pozo ciego,,conexión regular,"fuentes naturales(rio, arroyo, lluvia, etc)",,100,irregular,,si,entre 1 y 3 meses,,no,,,tira y quema,,leña y carbón,,,,,,malo,no,,no,,,,no,,,,no,,mejoras para el barrio,no,no,no,no,no,,si,,,,no,no,no,no,no,no,no,no,no,no,no,,a menos de 10 cuadras (1 km),entre 31 y 50 cuadras (3-5 km),a menos de 10 cuadras (1 km),entre 31 y 50 cuadras (3-5 km),dentro del asentamiento,dentro del asentamiento,dentro del asentamiento,a menos de 10 cuadras (1 km),entre 31 y 50 cuadras (3-5 km),entre 11 y 30 cuadras (1-3 km),entre 31 y 50 cuadras (3-5 km),entre 31 y 50 cuadras (3-5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),barrio inundable,,,,,,,,,,,1/inundacion,,,,no
223,508,,nuestra señora de la asuncion,san lorenzo,migracion por factores economicos,,ocupacion ilegal,,2008,menos de 1 año,40000,96,300,96,48,,si,sas,,si,si,si,si,propietario o particular,,de 3 a 6 meses,no,si,,invalid,,no,,por su propia cuenta,iniciando,,si,ns/nr,mas de 1.000.000Gs,ns/nr,,letrina sanitaria conectado a pozo negro o pozo ciego,,conexión regular,"fuentes naturales(rio, arroyo, lluvia, etc)",,100,ANDE,100,si,entre 1 y 3 meses,,si,,,tira y quema,,gas,,asfalto,,asfalto,,bueno,en algunas de las calles del barrio,,no,,,,no,,,,no,,tekopora,si,no,no,no,no,,no,17,,asamblea,no,no,no,no,no,no,no,no,no,si,si,,dentro del asentamiento,a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),entre 31 y 50 cuadras (3-5 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),dentro del asentamiento,,entre 31 y 50 cuadras (3-5 km),,,,2,,,,,1,,,,trabajan en equipo pero falta mas union,,,no
211,,,las malvinas,san lorenzo,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
222,113,6,la conquista 2,san lorenzo,f,ocupacion y venta,ocupacion ilegal,,2000,menos de 1 año,32000,78,300,78,4,,si,sas,,si,si,en proceso,si,sas,,de 3 a 6 meses,si,si,,ya se ha intentado legalizar y no se ha dado resultado,,si,sas,,iniciando,,si,los propios vecinos,mas de 1.000.000Gs,para uso particular del vendedor,,letrina sanitaria conectado a pozo negro o pozo ciego,,pozo comunal,,,100,ANDE,90,si,,,si,entre 3 y 6 meses,,servicio de recolección pagado,,gas,,,,tierra,,regular,únicamente en la calle principal del barrio,,hechos por los vecinos,,en algunas de las calles del asentamiento,,no,,,,no,,erradicar drogadiccion,si,no,no,no,no,,no,,,,no,no,no,no,no,no,no,no,si,no,no,,entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),dentro del asentamiento,a menos de 10 cuadras (1 km),dentro del asentamiento,mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),dentro del asentamiento,dentro del asentamiento,dentro del asentamiento,dentro del asentamiento,problema de acceso; zanja,,,2,,,,,,1,,,union para trabajar por asentamiento,,,no
226,101,1,divino niño jesus,san lorenzo,migracion por factores economicos,,ocupacion ilegal,,2008,menos de 1 año,600,84,120,84,70,,si,sas,,si,si,no,no,comision vecinal,,1 año,no,si,,ya se ha intentado legalizar y no se ha dado resultado,,no,,,,"en proceso, aunque se encuentra estancado",si,los propios vecinos,mas de 1.000.000Gs,para uso particular del vendedor,,letrina sanitaria conectado a pozo negro o pozo ciego,,conexión regular,"fuentes naturales(rio, arroyo, lluvia, etc)",,90,irregular,100,si,entre 1 y 3 meses,,no,,,tira y quema,,leña y carbón,,tierra,,tierra,,bueno,no,,provistos por el estado,,en algunas de las calles del asentamiento,,no,,,,no,,viviendas - techo,si,no,no,no,no,,no,,,votacion,no,no,no,si,no,no,no,no,no,si,si,,entre 11 y 30 cuadras (1-3 km),dentro del asentamiento,entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),entre 31 y 50 cuadras (3-5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),dentro del asentamiento,mas de 50 cuadras(+5 km),,,5,,4,,,,1,2,3,,se esfuerzan para conseguir algo,,,no
221,114,7,cuartel la victoria,san lorenzo,f,,e,el cuartel sedio el terreno porque era empleados del cuartel.,2015,entre 5 y 10 años,47710,20,360,20,1,,no,municipal,,si,si,no,ns/nr,municipalidad,,mas de 2 años,no,si,,ya se ha intentado legalizar y no se ha dado resultado,,no,,,,pagando,si,los propios vecinos,mas de 1.000.000Gs,para uso particular del vendedor,,inodoro conectado a fosa septica,,conexión regular,"fuentes naturales(rio, arroyo, lluvia, etc)",,20,ANDE,20,si,entre 1 y 3 meses,,si,4,,servicio de recolección pagado,,gas,,tierra,,tierra,,regular,en todas las calles del barrio,,provistos por el estado,,en todas las calles del asentamiento,,no,,,,no,,"programas municipales, empedrado",no,no,no,no,no,,si,,,,no,no,no,no,no,no,no,no,si,si,no,,a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),dentro del asentamiento,a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),dentro del asentamiento,entre 11 y 30 cuadras (1-3 km),,,,,,,1,,,2,,,,,,no
220,118,8,cable guy,san lorenzo,migracion por factores economicos,,ocupacion ilegal,,1995,entre 5 y 10 años,,,,0,0,,no,fiscal,,no,no,no,no,comision vecinal,,no hubo abandono,no,si,,,es propiedad de la ande,no,,,,,no,,,,,letrina sanitaria conectado a pozo negro o pozo ciego,,pozo comunal,,,100,irregular,100,no,,,no,,,tira y quema,,gas,,tierra,,tierra,,malo,no,,provistos por el estado,,en algunas de las calles del asentamiento,,no,,,,no,,asistencia para alimentacion,si,no,no,no,no,,no,20 - 30 personas,,"por designacion, la comision decide",no,si,no,no,si,si,no,no,no,no,si,,a menos de 10 cuadras (1 km),entre 31 y 50 cuadras (3-5 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),,,,,,4,,3,,,,1/ alimentacion // 2 casa hogar,tranquilidad y seguridad,,,no
219,116,8,asentamiento s/n 5,san lorenzo,reubicacion,,e,cedidas por propietario,2008,entre 2 y 3 años,10000,,,22,0,,no,privada,,no,no,no,no,comision vecinal,,mas de 2 años,no,si,,ya se ha intentado legalizar y no se ha dado resultado,,no,,,en tramite con la sas,,si,los propios vecinos,mas de 1.000.000Gs,para uso particular del vendedor,,letrina sanitaria conectado a pozo negro o pozo ciego,,conexión regular,"fuentes naturales(rio, arroyo, lluvia, etc)",,95,irregular,100,si,5,,no,,,tira y quema,,gas,,,,tierra,,regular,únicamente en la calle principal del barrio,,hechos por los vecinos,,en algunas de las calles del asentamiento,,si,donacion de chapa o fibra de cemento,,,no,,centro de saluda,no,no,no,no,no,,si,,,,no,si,no,no,si,no,no,no,si,no,no,,mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),dentro del asentamiento,entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),dentro del asentamiento,dentro del asentamiento,dentro del asentamiento,a menos de 10 cuadras (1 km),,,,,3,,4,2,,,,1/ legalizacion del terreno,la mayoria de los chicos van al colegio. hay tranquilidad por ser pocos en el asentamiento.,,,no
218,115,7,anastacio fernandez,san lorenzo,migracion por factores economicos,,ocupacion ilegal,,2012,entre 2 y 3 años,25000,60,60,50,63,,no,municipal,Es municipal pero esta en litigio,si,si,no,si,comision vecinal,,de 3 a 6 meses,no,si,,,en proceso,si,municipalidad,,,,no,,,,,letrina sanitaria conectado a pozo negro o pozo ciego,,conexión regular,"fuentes naturales(rio, arroyo, lluvia, etc)",,55,ANDE,60,si,mas de un año,,si,4,,servicio de recolección pagado,,leña y carbón,,tierra,,tierra,,malo,no,,provistos por el estado,,en todas las calles del asentamiento,,no,,,,no,senavitat,,si,no,no,no,no,,no,20,,asamblea por votacion.,no,no,no,no,no,no,no,no,no,no,no,cuartel,a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),dentro del asentamiento,entre 11 y 30 cuadras (1-3 km),,,,,,,,,,,,,,1- regularizacion de la tierra 2- centro comunitario 3 viviendas,"el apoyo a los que necesitas, la union entre vecinos",,,,no
217,200,,6 de noviembre,san lorenzo,reubicacion,eran del bañado (98),ocupacion ilegal,,1998,entre 2 y 3 años,10407,34,300,34,7,,si,municipal,,si,si,no,si,propietario o particular,,mas de 2 años,no,si,,ya se ha intentado legalizar y no se ha dado resultado,,si,municipalidad,,finalizando,,si,los propios vecinos,ns/nr,para uso particular del vendedor,,letrina sanitaria conectado a pozo negro o pozo ciego,,conexión regular,"fuentes naturales(rio, arroyo, lluvia, etc)",,100,ANDE,95,si,entre 1 y 3 meses,,si,4,,tira y quema,,leña y carbón,,,,,,bueno,en todas las calles del barrio,,provistos por el estado,,en todas las calles del asentamiento,,no,,,,no,,techo y un comedor,si,no,no,no,no,,no,12,,asamblea,no,no,no,si,no,no,no,no,no,no,no,,entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),dentro del asentamiento,a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),dentro del asentamiento,entre 11 y 30 cuadras (1-3 km),terreno sobre basurero (3metros de basura),,,,,,,,,,,vivienda,"union en la comunidad,apunto de conseguir todos los titulos.",,,no
212,,,26 de febrero - marquetalia,san lorenzo,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
216,290,,24 de junio,san lorenzo,migracion por factores economicos,,ocupacion ilegal,,1996,menos de 1 año,,900,,900,0,,si,privada,,si,no,no,si,un miembro del asentamiento,,menos de 1 mes,no,si,,,la transcripcion del titulo se hizo mal,no,,,,compro mi no sabes si hay gente que este gestonando,si,los propios vecinos,ns/nr,para uso particular del vendedor,,letrina sanitaria conectado a pozo negro o pozo ciego,letrina sanitaria conectado a pozo negro o pozo ciego,conexión regular,"fuentes naturales(rio, arroyo, lluvia, etc)",aguateria privada,100,irregular,,si,,,no,,,servicio de recolección pagado,,leña y carbón,,,,,,malo,únicamente en la calle principal del barrio,,provistos por el estado,,en todas las calles del asentamiento,,si,"puesto de salud, medicina una",ns/nr,3 años,si,sas,viviendas,si,si,si,no,si,,no,,,,no,no,no,no,no,no,no,no,no,si,si,,a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),dentro del asentamiento,a menos de 10 cuadras (1 km),dentro del asentamiento,entre 11 y 30 cuadras (1-3 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),dentro del asentamiento,dentro del asentamiento,dentro del asentamiento,dentro del asentamiento,entre 11 y 30 cuadras (1-3 km),,1,,2,,,,,,3,,,"tranquilo, hay escuela, hay de todo",,,no
215,102,1,15 de agosto,san lorenzo,migracion por factores economicos,,ocupacion ilegal,,2009,menos de 1 año,2600,50,150,50,40,,si,privada,,no,no,no,no,propietario o particular,,no hubo abandono,no,si,,,en proceso,no,,,,,si,los propios vecinos,ns/nr,para uso particular del vendedor,,letrina sanitaria conectado a pozo negro o pozo ciego,,conexión regular,"fuentes naturales(rio, arroyo, lluvia, etc)",,100,irregular,,si,mas de un año,,no,,,tira y quema,,leña y carbón,,ripio,,ripio,,regular,en algunas de las calles del barrio,,hechos por los vecinos,,en todas las calles del asentamiento,,no,,,,si,sas,"agua, luz, vivienda",si,no,no,no,no,,no,15 personas,,votacion,no,no,no,no,no,no,no,no,no,si,si,,a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),entre 11 y 30 cuadras (1-3 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),mas de 50 cuadras(+5 km),mas de 50 cuadras(+5 km),a menos de 10 cuadras (1 km),entre 11 y 30 cuadras (1-3 km),,a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),dentro del asentamiento,entre 31 y 50 cuadras (3-5 km),,,1,2,,,,,3,,,,"unido entre vecinos, es muy organizado.",,,no
214,106,3,12 de octubre,san lorenzo,migracion por factores economicos,,mediante una asociacion social,,2008,menos de 1 año,40000,94,280,110,25,,si,sas,,no,si,si,si,comision vecinal,,1 año,no,si,,,en proceso,si,sas,,en tramite con la sas,,si,los propios vecinos,mas de 1.000.000Gs,para uso particular del vendedor,,letrina sanitaria conectado a pozo negro o pozo ciego,,conexión regular,"fuentes naturales(rio, arroyo, lluvia, etc)",,40,irregular,,si,entre 3 y 6 meses,,no,,,tira y quema,,,,,,,,bueno,en todas las calles del barrio,,provistos por el estado,,en algunas de las calles del asentamiento,,si,la sas con su titulo pero hace mas de un año esta en la nada,80,6 años,no,,techo,si,no,no,no,no,,no,7,,votacion,no,no,no,no,no,si,no,no,no,si,si,,a menos de 10 cuadras (1 km),,a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),a menos de 10 cuadras (1 km),,a menos de 10 cuadras (1 km),,,dentro del asentamiento,a menos de 10 cuadras (1 km),dentro del asentamiento,,,2,1,3,6,,,5,4,,,,unidad entre los vecinos,,,no
